config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
1907,3.0,0.7,1.0,0.4,3.0,7.0,14.0,0.1118036599521067,4275.857791443728,4067.384849120574,11401.575842329356,0.4317530638026316,0.375,0.4754217476807133,2.4144285391558977,0.5916563537556965,1920.0
1908,3.0,0.7,1.0,0.4,3.0,8.0,14.0,0.11873795506373255,4265.37291481043,4032.209678058711,11300.986385392622,0.42870118310927496,0.385,0.4743501174778677,2.4214093470609797,0.5810140125986808,1910.5
1909,3.0,0.7,1.0,0.4,4.0,6.0,14.0,0.09361805355529228,3495.183510608258,4183.591479221977,11748.10508047574,0.3942632526912113,0.38,0.5105191714361494,2.510853712874912,0.5821206519858184,1677.5
1910,3.0,0.7,1.0,0.4,4.0,7.0,14.0,0.09799060912994642,3498.760695323204,4134.035055500888,11479.294569233516,0.3909670540105323,0.38,0.5070537929233582,2.495365021939289,0.5819452410751054,1661.0
1911,3.0,0.7,1.0,0.4,4.0,8.0,14.0,0.10449256598083698,3515.0498678903814,4005.380851756905,11421.169220686294,0.39612751367403876,0.385,0.5100139132981839,2.4757274394078204,0.5757530520567705,1661.5
1912,3.0,0.7,1.0,0.4,5.0,6.0,14.0,0.1407461630715682,3122.593115001442,4134.896702106993,11723.126658766041,0.36804337236119106,0.385,0.5342627856828966,2.5348622380451253,0.5790171439532822,1533.0
1913,3.0,0.7,1.0,0.4,5.0,7.0,14.0,0.14078744152929226,3149.251274585773,4092.824009773526,11610.204639463587,0.3687358971374772,0.385,0.5344374749210066,2.5622785919049775,0.5815161900123851,1518.0
1914,3.0,0.7,1.0,0.4,5.0,8.0,14.0,0.14349618583872376,3082.475764175817,4051.430513182002,11626.317766554943,0.3691083417587786,0.38,0.5402459560047572,2.557202418399783,0.5798790208127791,1513.5
1915,3.0,0.7,1.0,0.4,6.0,6.0,14.0,0.15566370727981377,2899.831887475034,4207.037575402964,11640.055985457951,0.3617352920216475,0.385,0.554340186320389,2.5779352313851245,0.5767815523852333,1466.0
1916,3.0,0.7,1.0,0.4,6.0,7.0,14.0,0.16070952377746778,2903.480924400269,4063.494018385036,11479.317788280185,0.3593854236157438,0.38,0.5492481098510118,2.5687544033747227,0.5862321839276403,1445.5
1917,3.0,0.7,1.0,0.4,6.0,8.0,14.0,0.1626962161164897,2901.268644669643,4090.384776937732,11672.748650715605,0.353881024409059,0.38,0.5504403232214905,2.5668524315420855,0.5769281594360325,1438.0
1918,3.0,0.7,1.0,0.4,7.0,6.0,14.0,0.1773664744964556,2744.7615016732734,4120.903828953693,11633.146251202848,0.3505871759534521,0.385,0.5538665631046606,2.593334956491451,0.5757572000785808,1428.0
1919,3.0,0.7,1.0,0.4,7.0,7.0,14.0,0.16848330328612202,2837.908656532773,4080.0669296978654,11516.501709335229,0.3522648978336202,0.38,0.5566721497779212,2.5822374432156954,0.5765687406180733,1403.0
1920,3.0,0.7,1.0,0.4,7.0,8.0,14.0,0.1797908798708272,2767.964174356854,4053.3718305994216,11460.779445152199,0.3499562731457016,0.385,0.5609212481426449,2.5934454062221004,0.578550120112292,1390.0
1921,3.0,0.7,1.4,0.4,3.0,6.0,14.0,0.11143266687779341,4233.802685651472,4176.453577054523,11605.719478779007,0.40066405278558237,0.38,0.5066058701207994,2.4755546955570873,0.583462688182895,1944.5
1922,3.0,0.7,1.4,0.4,3.0,7.0,14.0,0.12381683454687165,4291.410492111367,4091.425022656126,11508.433829541784,0.4003930378476873,0.385,0.5012536809167177,2.476126348309263,0.5870897492602785,1920.5
1923,3.0,0.7,1.4,0.4,3.0,8.0,14.0,0.12224376465299586,4249.817833332318,4025.7430164515235,11714.003677081539,0.3978643778552872,0.38,0.5035992438974934,2.467825054142932,0.5868329048111582,1917.0
1924,3.0,0.7,1.4,0.4,4.0,6.0,14.0,0.10333669649904251,3488.3996853708054,4198.219949487053,11467.495878607813,0.377389474873272,0.38,0.5292240295957413,2.520823230527783,0.5846902750552072,1683.5
1925,3.0,0.7,1.4,0.4,4.0,7.0,14.0,0.1104609468637148,3461.1172400692685,4084.035832101308,11587.193262797593,0.37877665181796555,0.38,0.52377665545557,2.5124864719259357,0.5759260658648552,1658.5
1926,3.0,0.7,1.4,0.4,4.0,8.0,14.0,0.11484172327095254,3481.80810713948,4022.443577684913,11461.837198362846,0.3746096644437388,0.38,0.5275638650718041,2.5081861552432123,0.5859701948800546,1650.0
1927,3.0,0.7,1.4,0.4,5.0,6.0,14.0,0.14193048082800333,3156.4740519591423,4170.852231356193,11492.32900301335,0.35898273313499657,0.385,0.5522883571558577,2.550080475416914,0.5780478520594036,1534.0
